unidade;tarefa;caminho;status;quant_total;und;fonte
Sobrado 01;Emassamento, lixamento e 1ª demão - Interno - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;139,9;m²;soma de 2 itens (1.3.2.8.1.1.1, 1.3.2.8.1.1.2)
Sobrado 01;Peitoris - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;3,3;m;Instalação de soleiras e peitoris
Sobrado 01;Soleiras - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;5,7;m;Instalação de soleiras e peitoris
Sobrado 01;Bancadas - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;6,6;m;Instalação de bancadas
Sobrado 01;Esquadrias de alumínio - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;1;VB;Fornecimento e instalação de esquadrias de aluminio e vidro temperado
Sobrado 01;Portas - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;1;UN;Fornecimento e instalação de porta de pvc kit pronto tamanho 70 cm abrir (incluso dobradiças, fechadura)
Sobrado 01;Portão de muro  - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;pendente;;;
Sobrado 01;Luminárias internas -  Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;pendente;;;
Sobrado 01;Porcelanato de piso - Externo - Térreo  - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;39,88;m²;Fornecimento e instalação de porcelanato de piso externo
Sobrado 01;Louças e Metais - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;pendente;;;
Sobrado 01;Pintura final  (retoques) - Térreo - Casa 01;CASA 01 > ACABAMENTOS > TÉRREO;aplicado;139,9;m²;soma de 2 itens (1.3.2.8.1.1.1, 1.3.2.8.1.1.2)
Sobrado 01;Ripado em alumínio - Fachada - Casa 01;CASA 01 > FACHADA;pendente;;;
Sobrado 01;Pintura externa - Casa 01;CASA 01 > FACHADA;aplicado;267,55;m²;soma de 5 itens (1.3.2.8.2.1.1, 1.3.2.8.2.1.2, 1.3.3.7.2.1.1, 1.3.3.7.2.1.2, 1.3.4.4.1.1.1)
Sobrado 01;Luminárias externas - Casa 01;CASA 01 > FACHADA;pendente;;;
Sobrado 01;Churrasqueira com chaminé  - Casa 01;CASA 01 > DIVERSOS;aplicado;1;un;Fornecimento e instalação de churrasqueira (casas)
Sobrado 01;Passeio Publico - Casa 01;CASA 01 > PAVIMENTAÇÃO E PAISAGISMO;pendente;;;
Sobrado 01;Pedra de piso - Degraus  - Casa 01;CASA 01 > PAVIMENTAÇÃO E PAISAGISMO;pendente;;;
Sobrado 01;Paisagismo  - Casa 01;CASA 01 > PAVIMENTAÇÃO E PAISAGISMO;pendente;;;
Sobrado 01;Limpeza final da obra - Casa 01;CASA 01 > LIMPEZA DA OBRA;pendente;;;
Sobrado 02;Locação de obra - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > LOCAÇÃO DE OBRA;pendente;;;
Sobrado 02;Escavação - Estacas - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > ESTACAS;aplicado;157;m;Escavação de estacas mecanizada (d=30 cm)
Sobrado 02;Armação  - Estacas - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > ESTACAS;pendente;;;
Sobrado 02;Concretagem  - Estacas - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > ESTACAS;pendente;;;
Sobrado 02;Escavação - Blocos - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > BLOCOS;aplicado;5,8;m³;Escavação manual de vala - profundidade até 1,5 m
Sobrado 02;Locação e Montagem - Armação  - Blocos - Casa 02;CASA 02 > INFRAESTRUTURA  - CASA 02 > BLOCOS;pendente;;;
